match_id,home_team,away_team,t1_t1_entropy,t2_t2_entropy,t1_t2_entropy,t2_t1_entropy,total_entropy,team1_entropy_segment,team2_entropy_segment,SEI
266653,Rayo Vallecano,Barcelona,2.856041788,4.940788257,1.204570022,1.166610988,10.16801105,0.277151818,0.4896481,-0.212496281
266664,Real Sociedad,Barcelona,2.21880541,5.528784381,1.429664916,1.339707832,10.51696254,0.202420454,0.534255156,-0.331834703
266669,Barcelona,Deportivo Alavés,5.593236455,2.151341519,1.602830189,1.574149906,10.92155807,0.509502045,0.199607216,0.309894829
266670,Espanyol,Barcelona,2.063898965,5.202409863,1.246349831,1.424008365,9.936667023,0.225584443,0.505677741,-0.280093297
266724,Mallorca,Barcelona,2.2622367,6.596617322,0.9899185,1.070539156,10.91931168,0.214560901,0.596740606,-0.382179704
266731,Eibar,Barcelona,3.345647118,4.674696499,1.113016617,1.105783383,10.23914362,0.326044248,0.457257941,-0.131213693
266741,Barcelona,Levante,6.316206487,2.170029258,1.063974763,1.055583888,10.6057944,0.594751829,0.205399054,0.389352775
266770,Levante,Barcelona,2.494939802,5.876709827,1.019429501,0.912071337,10.30315047,0.231733162,0.580799825,-0.349066663
266794,Elche,Barcelona,2.504709639,5.679201529,1.15252677,1.080836225,10.41727416,0.233556212,0.552053444,-0.318497231
266815,Sporting Gijón,Barcelona,2.065675022,6.079113151,1.192954817,1.245685256,10.58342825,0.2001625,0.569416882,-0.369254381
266827,Málaga,Barcelona,3.148944637,5.401971694,1.190193046,1.02407837,10.76518775,0.277081091,0.517230772,-0.240149681
266838,Málaga,Barcelona,2.385910683,5.013107188,1.310666048,1.405083412,10.11476733,0.245218497,0.486287985,-0.241069487
266846,Barcelona,Córdoba CF,6.026713195,2.351851647,1.48069445,1.249768536,11.10902783,0.521718675,0.232493572,0.289225103
266871,Athletic Club,Barcelona,2.553930776,5.689126402,0.990023828,0.994458794,10.2275398,0.250144785,0.555821981,-0.305677197
266874,Barcelona,Athletic Club,4.45078062,3.439456486,1.629033937,1.356455112,10.87572615,0.384176811,0.34131379,0.042863021
266883,Real Betis,Barcelona,3.474620329,4.193184089,1.487090156,1.397878558,10.55277313,0.320807497,0.405807614,-0.085000117
266885,Barcelona,Real Sociedad,4.352148839,3.411924692,1.56367655,1.628306476,10.95605656,0.403135813,0.305520033,0.097615779
266892,Athletic Club,Barcelona,2.871230298,5.021746823,0.977233485,1.256976929,10.12718754,0.31114006,0.468244847,-0.157104787
266916,Barcelona,Rayo Vallecano,4.483774345,3.32747869,1.435836498,1.396267015,10.64335655,0.417556702,0.316352098,0.101204604
266921,Barcelona,Elche,5.925986409,2.483490269,1.389076177,1.292678419,11.09123127,0.52560338,0.232606098,0.292997283
266929,Celta Vigo,Barcelona,2.981911504,4.2956817,1.535771575,1.354708696,10.16807347,0.275455191,0.44027461,-0.164819418
266933,Houston Dash,Portland Thorns,4.207862397,3.517140811,1.456325173,1.189897447,10.37122583,0.380035565,0.364814015,0.01522155
266952,Barcelona,Villarreal,5.298428805,2.678189848,1.585245688,1.313722125,10.87558647,0.462219234,0.271223388,0.190995846
266961,Barcelona,RC Deportivo La Coruña,5.357027512,2.735579373,1.529655182,1.52491665,11.14717872,0.480147409,0.245830624,0.234316785
266967,Eibar,Barcelona,2.678970231,5.074063193,1.195104514,1.218632512,10.16677045,0.265816784,0.496768883,-0.230952098
266986,Real Betis,Barcelona,2.203249712,6.004327634,1.08569221,1.184604531,10.47787409,0.21971652,0.563608158,-0.343891638
266989,Sevilla,Barcelona,3.757129282,3.896198553,1.422507601,1.183301656,10.25913709,0.342906358,0.403094769,-0.060188411
267039,Las Palmas,Barcelona,3.709756759,5.09435063,0.867381988,1.114247134,10.78573651,0.366838361,0.449434814,-0.082596453
267058,Barcelona,Granada,6.08209233,2.299560699,1.309168532,1.108491931,10.79931349,0.544610149,0.23151817,0.313091979
267076,Barcelona,Real Madrid,4.055902076,3.843051327,1.500232586,1.33344034,10.73262633,0.362363294,0.37361252,-0.011249226
267077,Espanyol,Barcelona,2.645463473,5.037082888,1.031326815,1.268502256,9.982375431,0.288772841,0.480838201,-0.19206536
267085,Real Madrid,Barcelona,3.724043739,4.403103585,1.169158239,1.148165803,10.44447137,0.354546551,0.42358257,-0.069036018
267101,Barcelona,Osasuna,6.370536353,1.962445228,1.407747764,1.347494672,11.08822402,0.569097743,0.182418602,0.386679141
267138,Granada,Barcelona,1.47457025,5.808606455,0.999826497,1.297308632,9.580311833,0.184968132,0.575255213,-0.39028708
267161,Chicago Red Stars,Sky Blue FC,4.599177055,3.047136961,1.361321495,1.394768291,10.4024038,0.445341667,0.289710938,0.155630729
267183,Barcelona,Real Madrid,4.155248458,3.715967307,1.347416411,1.382574204,10.60120638,0.395276358,0.347206665,0.048069693
267192,Celta Vigo,Barcelona,3.256086613,4.957849563,1.208376182,1.141651229,10.56396359,0.301909566,0.475633457,-0.173723891
267197,Barcelona,RC Deportivo La Coruña,6.38103122,2.126586585,1.436553172,1.479794031,11.42396501,0.562350469,0.182366256,0.379984213
267212,Leganés,Barcelona,2.868856964,4.09549274,1.493849757,1.521507448,9.979706909,0.290240453,0.407610673,-0.11737022
267220,Barcelona,Atlético Madrid,5.378812888,2.646197825,1.67874616,1.252809256,10.95656613,0.452046373,0.280392113,0.17165426
267273,Las Palmas,Barcelona,4.250290218,4.348712822,1.029695424,1.176615513,10.80531398,0.406948869,0.388863548,0.018085321
267274,Valencia,Barcelona,2.428942502,5.374459895,0.990979528,1.64961984,10.44400176,0.295632161,0.451533779,-0.155901618
267301,Barcelona,Celta Vigo,4.978170989,2.408396589,1.680494557,1.794277108,10.86133924,0.46881452,0.211264374,0.257550145
267327,Barcelona,Real Betis,4.747933904,3.154435533,1.497219445,1.259690645,10.65927953,0.423143524,0.318217036,0.104926489
267343,Granada,Barcelona,2.501528398,4.4526762,1.309736092,1.591954509,9.8558952,0.282444847,0.423143479,-0.140698632
267368,Barcelona,Real Betis,4.447706352,2.906743162,1.670546739,1.621331894,10.64632815,0.41314634,0.277650469,0.135495871
267373,Barcelona,Real Sociedad,4.156134657,3.969379363,1.307565812,1.205889189,10.63896902,0.381095013,0.382655122,-0.001560109
267395,Barcelona,Las Palmas,4.961876598,3.036102935,1.285864129,1.389601503,10.67344516,0.474599709,0.274734682,0.199865027
267400,Barcelona,Almería,5.928554319,2.286332819,1.377992094,1.131262322,10.72414155,0.529816258,0.236201898,0.29361436
267405,Chicago Red Stars,Seattle Reign,3.574204808,4.332311512,1.37625386,1.168258622,10.4510288,0.322093608,0.434436345,-0.112342737
267422,Barcelona,Málaga,5.784933967,1.854259327,1.644891042,1.594393603,10.87847794,0.527135925,0.175094051,0.352041874
267432,Barcelona,Eibar,5.280024947,2.179568954,1.878865618,1.526596605,10.86505612,0.453541692,0.233025761,0.220515931
267464,Atlético Madrid,Barcelona,2.938964954,4.658587569,1.11081608,1.266237682,9.974606285,0.310226436,0.451463029,-0.141236593
267492,Barcelona,RC Deportivo La Coruña,5.65708366,2.188588964,1.53770399,1.449663788,10.8330404,0.514079451,0.210156067,0.303923384
267499,Almería,Barcelona,2.344119179,5.398795606,1.194289333,1.073872387,10.0110765,0.222124187,0.551310596,-0.329186408
267502,Athletic Club,Barcelona,2.96157438,4.348252739,1.310913472,1.575836955,10.19657755,0.316429493,0.400460766,-0.084031273
267506,Granada,Barcelona,2.744230961,4.916228686,1.347399157,1.214899062,10.22275786,0.255482024,0.493871502,-0.238389478
267520,Barcelona,Real Sociedad,5.911769008,2.471164673,1.38661752,1.205023492,10.97457469,0.522131849,0.241718588,0.280413261
267533,Barcelona,Real Madrid,5.346318393,3.104063414,1.244586798,1.102554715,10.79752332,0.481988893,0.30063334,0.181355553
267561,Rayo Vallecano,Barcelona,3.190862221,4.711521821,1.276956948,1.137066066,10.31640706,0.29573972,0.470261853,-0.174522133
267567,Barcelona,Athletic Club,4.487623127,3.071053316,1.707207919,1.629243794,10.89512816,0.404736772,0.289029867,0.115706905
267569,Real Madrid,Barcelona,3.868954281,4.486715181,0.86424107,1.025646758,10.24555729,0.393376354,0.422164395,-0.028788041
267576,Barcelona,Atlético Madrid,5.182290337,2.550894658,1.61301415,1.458272462,10.80447161,0.465321103,0.250418201,0.214902902
267590,Málaga,Barcelona,2.794330762,5.203602682,1.269841434,1.046840558,10.31461544,0.249289942,0.52610818,-0.276818238
267596,Barcelona,Leganés,5.344762029,2.662932363,1.508141969,1.447054873,10.96289123,0.481959989,0.248476374,0.233483615
267597,Barcelona,Villarreal,5.741112387,2.594811919,1.343872956,1.283564121,10.96336138,0.518162574,0.242181267,0.275981306
267609,North Carolina Courage,Houston Dash,3.836587298,3.781880625,1.517360718,1.675049535,10.81087818,0.369468238,0.335235653,0.034232585
267611,Barcelona,Las Palmas,5.026888193,2.708967515,1.359963957,1.44434494,10.5401646,0.484932576,0.249008116,0.23592446
267660,RC Deportivo La Coruña,Barcelona,2.888756671,5.563432271,0.824986749,1.083654155,10.36082985,0.30378108,0.512001929,-0.208220849
267670,Barcelona,Real Betis,6.013106131,2.038278455,1.348801372,1.301417717,10.70160367,0.557460607,0.194892483,0.362568124
267675,Sevilla,Barcelona,3.207128812,5.045154007,1.045654829,0.962861861,10.26079951,0.304492437,0.499760956,-0.19526852
267679,Orlando Pride,Washington Spirit,3.710219547,4.65825456,0.882336619,1.00378391,10.25459464,0.373653662,0.442417027,-0.068763365
303377,Barcelona,Getafe,5.950867455,2.142364874,1.454026171,1.317739624,10.86499812,0.535166306,0.209724051,0.325442255
303400,Valencia,Barcelona,2.77089967,6.38922709,0.654142542,0.97625183,10.79052113,0.286641296,0.56226365,-0.275622355
303421,Deportivo Alavés,Barcelona,2.986771481,5.791476077,1.001853145,0.860230977,10.64033168,0.267392916,0.557604633,-0.290211718
303430,Barcelona,Villarreal,4.904345337,3.891757844,1.082848936,1.052936562,10.93188868,0.4458912,0.35873675,0.08715445
303451,Barcelona,Mallorca,5.467484007,3.049052866,1.165098424,1.207718114,10.88935341,0.506008345,0.276089228,0.229919117
303470,Real Madrid,Barcelona,3.857487615,4.71724831,0.990235605,1.328538423,10.89350995,0.385164236,0.401977463,-0.016813227
303473,Barcelona,Sevilla,4.453745507,3.627457288,1.34813198,1.350212675,10.77954745,0.413359301,0.336319925,0.077039376
303479,Barcelona,Real Sociedad,4.58813913,3.909027165,1.160288103,1.130558079,10.78801248,0.422543922,0.36510499,0.057438932
303487,Barcelona,Celta Vigo,5.519091558,3.430315907,1.166453934,1.111257363,11.22711876,0.486669385,0.310454762,0.176214624
303493,Barcelona,Athletic Club,5.885139269,2.357051528,1.448728271,1.285040133,10.9759592,0.521271173,0.22966008,0.291611093
303504,Levante,Barcelona,3.331442114,5.356867849,1.150428623,0.950407877,10.78914646,0.2902381,0.515044319,-0.224806219
303516,Celta Vigo,Barcelona,2.805717301,5.183827341,1.187893384,1.196957126,10.37439515,0.271320014,0.498801475,-0.22748146
303517,Barcelona,Deportivo Alavés,5.809929808,2.954713651,1.161155209,1.041843956,10.96764262,0.518855213,0.280281279,0.238573934
303524,Atlético Madrid,Barcelona,3.199890961,5.067109309,0.915626628,1.346613476,10.52924037,0.344837584,0.4403093,-0.095471717
303532,Barcelona,Leganés,6.346381308,2.334112991,1.317982605,1.243102903,11.24157981,0.557884364,0.214293074,0.34359129
303548,Mallorca,Barcelona,3.276518141,5.2323378,1.11316126,1.031078832,10.65309603,0.299859844,0.498861571,-0.199001728
303596,Barcelona,Real Madrid,4.356245879,4.309114602,1.018073809,1.111737466,10.79517176,0.412212944,0.390494106,0.021718838
303600,Barcelona,Real Valladolid,5.082026174,3.049086202,1.374555203,1.522128321,11.0277959,0.474219811,0.263109066,0.211110745
303610,Barcelona,Granada,6.996183218,1.883940297,1.173591151,1.130056423,11.18377109,0.621672997,0.172345715,0.449327282
303615,Barcelona,Espanyol,5.869993449,2.655740755,1.209587641,1.043588984,10.77891083,0.529180998,0.261783352,0.267397646
303634,Barcelona,Osasuna,6.170133745,1.924689285,1.546939239,1.336846471,10.97860874,0.542877619,0.194449233,0.348428386
303652,Espanyol,Barcelona,2.565779392,5.329811334,1.078468876,1.357542733,10.33160233,0.275354505,0.488862939,-0.213508434
303664,Real Sociedad,Barcelona,4.80366401,3.695701877,1.048237755,0.947779332,10.49538297,0.448121388,0.361698121,0.086423267
303666,Granada,Barcelona,2.5469008,5.553317666,1.179076965,1.181872145,10.46116758,0.24372958,0.53058346,-0.28685388
303674,Sevilla,Barcelona,3.356368562,5.649552873,0.967732164,0.846293422,10.81994702,0.298978342,0.533365977,-0.234387635
303680,Real Valladolid,Barcelona,3.516124715,4.927622591,1.05433257,1.398661611,10.89674149,0.354275979,0.420611387,-0.066335408
303682,Barcelona,Levante,5.768636252,2.792991186,1.183137884,1.261916879,11.0066822,0.531260478,0.246596762,0.284663716
303696,Barcelona,Atlético Madrid,5.460455101,2.500611613,1.498081745,1.510732439,10.9698809,0.498921168,0.226799264,0.272121904
303700,Eibar,Barcelona,3.857400169,4.805826837,0.870372322,1.054225784,10.58782511,0.38168874,0.436536619,-0.054847878
303707,Real Betis,Barcelona,2.529752161,5.88337216,1.090954726,1.116972942,10.62105199,0.240632508,0.551485291,-0.310852783
