,match_id,competition,season,home_team,away_team,home_score,away_score,home_win,away_win,tie,match_id_2,home_team_2,away_team_2,t1_t1_entropy,t2_t2_entropy,t1_t2_entropy,t2_t1_entropy,total_entropy,team1_entropy_segment,team2_entropy_segment,SEI,Home_Win_Pred,away_Win_Pred
39,18245, Champions League, 2017/2018, Real Madrid, Liverpool,3,1,1,0,0,18245,Real Madrid,Liverpool,5.144975744,3.108396202,1.086484859,1.28206915,10.62192595,0.502786412,0.274226343,0.228560068,1,0
40,22912, Champions League, 2018/2019, Tottenham Hotspur, Liverpool,0,2,0,1,0,22912,Tottenham Hotspur,Liverpool,5.101512176,3.067933634,1.020270016,1.175972654,10.36568848,0.507174687,0.280949114,0.226225573,1,0
41,2302764, Champions League, 2004/2005, AC Milan, Liverpool,3,3,0,0,1,2302764,AC Milan,Liverpool,4.30094668,3.615865603,1.457878764,1.547810901,10.92250195,0.402003024,0.322813718,0.079189306,1,0
42,265830, La Liga, 2013/2014, Atlético Madrid, Barcelona,0,0,0,0,1,265830,Atlético Madrid,Barcelona,2.729209041,5.009848737,1.479891689,1.493738514,10.71268798,0.256056731,0.466363057,-0.210306325,0,1
43,265837, La Liga, 2013/2014, Real Sociedad, Barcelona,3,1,1,0,0,265837,Real Sociedad,Barcelona,3.049786609,4.849229399,1.175839771,1.485952785,10.56080856,0.318147953,0.429807657,-0.111659704,0,1
44,265839, La Liga, 2015/2016, Barcelona, Sevilla,2,1,1,0,0,265839,Barcelona,Sevilla,5.259906086,2.928902886,1.318102168,1.279814599,10.78672574,0.484078176,0.275077955,0.209000221,1,0
45,265857, La Liga, 2013/2014, Real Madrid, Barcelona,3,4,0,1,0,265857,Real Madrid,Barcelona,2.776318979,5.29080559,1.06852851,1.225144116,10.3607972,0.283080011,0.495540052,-0.212460041,0,1
46,265866, La Liga, 2014/2015, Córdoba CF, Barcelona,0,8,0,1,0,265866,Córdoba CF,Barcelona,1.928458407,6.005938705,1.240943896,1.293358545,10.46869955,0.189218636,0.568697576,-0.379478939,0,1
47,265894, La Liga, 2015/2016, Málaga, Barcelona,1,2,0,1,0,265894,Málaga,Barcelona,3.075846105,4.854842312,1.156586967,1.15674253,10.24401791,0.300272968,0.473904555,-0.173631586,0,1
48,265896, La Liga, 2014/2015, Barcelona, Eibar,3,0,1,0,0,265896,Barcelona,Eibar,6.051986057,1.933884691,1.525569738,1.35834789,10.86978838,0.541387192,0.193297833,0.348089359,1,0
49,265944, La Liga, 2015/2016, Barcelona, Sporting Gijón,6,0,1,0,0,265944,Barcelona,Sporting Gijón,5.798211734,2.256338575,1.352356939,1.278966295,10.68587354,0.535737305,0.218019539,0.317717766,1,0
50,265952, La Liga, 2016/2017, Barcelona, Sporting Gijón,6,1,1,0,0,265952,Barcelona,Sporting Gijón,6.271304293,2.208118049,1.018728256,1.096314163,10.59446476,0.599264837,0.20109861,0.398166227,1,0
51,265958, La Liga, 2015/2016, Barcelona, Espanyol,5,0,1,0,0,265958,Barcelona,Espanyol,5.334011761,2.511008354,1.361999655,1.405210099,10.61222987,0.506700502,0.232542825,0.274157678,1,0
52,265963, La Liga, 2014/2015, Barcelona, Getafe,6,0,1,0,0,265963,Barcelona,Getafe,5.901172134,2.384974919,1.34682284,1.35621585,10.98918574,0.537852875,0.216174516,0.321678359,1,0
53,266015, La Liga, 2012/2013, Real Valladolid, Barcelona,1,3,0,1,0,266015,Real Valladolid,Barcelona,2.88291693,5.514901072,0.919658612,1.235163646,10.55264026,0.303092106,0.492710441,-0.189618335,0,1
54,266033, La Liga, 2016/2017, Valencia, Barcelona,2,3,0,1,0,266033,Valencia,Barcelona,2.491000253,5.346526691,1.194788279,1.450541905,10.48285713,0.262023401,0.485628393,-0.223604992,0,1
